
*** PROCESSO PAI ***

Linux 6.14.3 (ricardoPC) 	30/04/2025 	_x86_64_	(12 CPU)

19:40:56      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
19:42:02        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:03        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:04        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:05        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:06        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:07        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:08        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:09        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:10        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:11        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:12        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:13        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:14        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:15        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:16        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:17        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:18        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:19        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:20        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:21        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:22        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:23        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:24        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:25        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:26        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:27        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:28        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:29        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:30        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:31        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:32        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
19:42:33        0     12221    0,00    0,00    0,00    0,00    0,00     4  signalping_2pro
