
*** Processo FILHO ***
Linux 6.14.3 (ricardoPC) 	30/04/2025 	_x86_64_	(12 CPU)

20:36:56      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:38:02        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:03        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:04        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:05        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:06        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:07        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:08        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:09        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:10        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:11        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:12        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:13        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:14        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:15        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:16        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:17        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:18        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:19        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:20        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:21        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:22        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:23        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:24        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:25        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:26        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:27        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:28        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:29        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:30        0     12906   99,00    0,00    0,00    0,00   99,00     5  pktping_2proc
20:38:31        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:32        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:33        0     12906  100,00    0,00    0,00    1,00  100,00     5  pktping_2proc
20:38:34        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:35        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:36        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc

20:38:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:38:37        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:38        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:39        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:40        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:41        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:42        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:43        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:44        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:45        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc
20:38:46        0     12906  100,00    0,00    0,00    0,00  100,00     5  pktping_2proc

*************************

